// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B414FE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
00370		-0.725386	0.131832	0.646298	0.196809	25.932482	-81.698913	-52.879417
00371		-0.725086	0.131668	0.646663	0.196826	26.254538	-81.731261	-53.188711
00372		-0.724840	0.131509	0.646960	0.196861	26.539746	-81.754977	-53.463081
00373		-0.724669	0.131348	0.647172	0.196903	26.771265	-81.768106	-53.684523
00374		-0.724508	0.131183	0.647382	0.196915	26.989854	-81.781714	-53.890020
00375		-0.724335	0.130999	0.647609	0.196928	27.228945	-81.796140	-54.114641
00376		-0.724163	0.130798	0.647840	0.196934	27.475263	-81.809906	-54.344414
00377		-0.724020	0.130558	0.648072	0.196856	27.697582	-81.824203	-54.539940
00378		-0.723920	0.130304	0.648265	0.196757	27.888748	-81.833920	-54.701416
00379		-0.723894	0.130096	0.648346	0.196724	28.014184	-81.830956	-54.806784
00380		-0.723869	0.129915	0.648403	0.196745	28.137591	-81.825105	-54.916908
00381		-0.723818	0.129776	0.648472	0.196796	28.267188	-81.822104	-55.039232
00382		-0.723752	0.129704	0.648527	0.196907	28.388645	-81.819535	-55.164028
00383		-0.723687	0.129631	0.648586	0.197002	28.505949	-81.817985	-55.283124
00384		-0.723638	0.129570	0.648621	0.197106	28.605477	-81.814115	-55.386308
00385		-0.723622	0.129573	0.648605	0.197214	28.645438	-81.808446	-55.435706
00386		-0.723629	0.129578	0.648566	0.197312	28.662245	-81.800545	-55.461217
00387		-0.723654	0.129655	0.648478	0.197462	28.640420	-81.789813	-55.458526
00388		-0.723666	0.129755	0.648377	0.197685	28.636143	-81.776232	-55.481445
00389		-0.723657	0.129910	0.648291	0.197899	28.615836	-81.768442	-55.492084
00390		-0.723650	0.130023	0.648216	0.198093	28.611343	-81.759984	-55.513385
00391		-0.723672	0.130085	0.648144	0.198209	28.591047	-81.751265	-55.508103
00392		-0.723683	0.130056	0.648118	0.198274	28.614635	-81.743970	-55.534814
00393		-0.723698	0.129965	0.648116	0.198285	28.654171	-81.737368	-55.567855
00394		-0.723712	0.129890	0.648108	0.198307	28.688340	-81.730714	-55.597613
00395		-0.723754	0.129782	0.648093	0.198274	28.703915	-81.723220	-55.601627
00396		-0.723785	0.129678	0.648089	0.198242	28.726107	-81.717184	-55.612539
00397		-0.723848	0.129601	0.648039	0.198225	28.713005	-81.707182	-55.591750
00398		-0.723886	0.129575	0.647983	0.198285	28.711650	-81.696758	-55.593410
00399		-0.723926	0.129564	0.647927	0.198328	28.696482	-81.688018	-55.581103
00400		-0.723942	0.129555	0.647890	0.198399	28.707224	-81.680479	-55.597113
00401		-0.723964	0.129547	0.647849	0.198460	28.709835	-81.672929	-55.604218
00402		-0.723970	0.129582	0.647801	0.198567	28.713425	-81.665761	-55.619842
00403		-0.723981	0.129648	0.647739	0.198690	28.701583	-81.658236	-55.624005
00404		-0.723982	0.129693	0.647679	0.198851	28.718247	-81.648310	-55.658038
00405		-0.723990	0.129706	0.647626	0.198985	28.739259	-81.637945	-55.691473
00406		-0.724005	0.129669	0.647596	0.199053	28.763420	-81.629515	-55.718405
00407		-0.724025	0.129624	0.647560	0.199124	28.789533	-81.619821	-55.746814
00408		-0.724052	0.129550	0.647542	0.199135	28.810062	-81.612521	-55.762210
00409		-0.724069	0.129429	0.647551	0.199120	28.856071	-81.606234	-55.796983
00410		-0.724047	0.129323	0.647598	0.199119	28.929411	-81.604579	-55.861420
00411		-0.724019	0.129285	0.647619	0.199175	28.985194	-81.602403	-55.918771
00412		-0.724000	0.129307	0.647593	0.199317	29.024811	-81.595452	-55.972154
00413		-0.724010	0.129362	0.647518	0.199487	29.030224	-81.583972	-55.996609
00414		-0.724016	0.129442	0.647428	0.199704	29.037669	-81.570747	-56.029101
00415		-0.724023	0.129541	0.647337	0.199911	29.031909	-81.558898	-56.049080
00416		-0.724018	0.129570	0.647287	0.200072	29.060697	-81.548992	-56.093929
00417		-0.724001	0.129577	0.647269	0.200187	29.099266	-81.542993	-56.142781
00418		-0.723966	0.129549	0.647292	0.200256	29.158064	-81.541077	-56.205029
00419		-0.723965	0.129525	0.647292	0.200277	29.177133	-81.538692	-56.223934
00420		-0.723988	0.129479	0.647277	0.200274	29.181837	-81.534052	-56.224667
00421		-0.724028	0.129426	0.647246	0.200264	29.175672	-81.527419	-56.213339
00422		-0.724054	0.129317	0.647252	0.200218	29.199913	-81.522694	-56.224693
00423		-0.724078	0.129246	0.647244	0.200203	29.214159	-81.517779	-56.231779
00424		-0.724077	0.129240	0.647225	0.200274	29.235599	-81.512454	-56.258715
00425		-0.724074	0.129270	0.647180	0.200408	29.254371	-81.504198	-56.291446
00426		-0.724044	0.129337	0.647140	0.200603	29.291494	-81.496572	-56.350514
00427		-0.724030	0.129495	0.647046	0.200856	29.282263	-81.486475	-56.375896
00428		-0.724022	0.129659	0.646957	0.201066	29.255219	-81.479213	-56.380212
00429		-0.724055	0.129709	0.646875	0.201179	29.230911	-81.468825	-56.369664
00430		-0.724103	0.129688	0.646803	0.201251	29.221294	-81.456497	-56.364592
00431		-0.724136	0.129588	0.646787	0.201249	29.246342	-81.448196	-56.381241
00432		-0.724167	0.129442	0.646808	0.201163	29.276360	-81.444332	-56.391947
00433		-0.724244	0.129284	0.646788	0.201053	29.270724	-81.435863	-56.364022
00434		-0.724334	0.129099	0.646764	0.200921	29.263021	-81.426122	-56.330106
00435		-0.724413	0.128904	0.646756	0.200788	29.269255	-81.417492	-56.309038
00436		-0.724479	0.128679	0.646763	0.200672	29.304754	-81.407980	-56.316154
00437		-0.724534	0.128426	0.646789	0.200553	29.363032	-81.398865	-56.343575
00438		-0.724610	0.128176	0.646788	0.200440	29.404125	-81.386703	-56.354478
00439		-0.724684	0.127987	0.646770	0.200353	29.422173	-81.375530	-56.349719
00440		-0.724784	0.127816	0.646712	0.200288	29.415953	-81.360303	-56.324077
00441		-0.724890	0.127705	0.646621	0.200267	29.384632	-81.343607	-56.281970
00442		-0.724972	0.127604	0.646564	0.200218	29.360294	-81.332378	-56.245375
00443		-0.725058	0.127501	0.646513	0.200137	29.326943	-81.323053	-56.196829
00444		-0.725150	0.127397	0.646458	0.200049	29.287310	-81.313371	-56.141222
00445		-0.725293	0.127238	0.646362	0.199939	29.231526	-81.296412	-56.063362
00446		-0.725399	0.127039	0.646337	0.199764	29.208983	-81.287250	-56.009707
00447		-0.725487	0.126796	0.646340	0.199587	29.221832	-81.278502	-55.987655
00448		-0.725576	0.126494	0.646356	0.199407	29.263054	-81.267514	-55.988842
00449		-0.725668	0.126176	0.646368	0.199234	29.311697	-81.254716	-55.996702
00450		-0.725752	0.125864	0.646380	0.199084	29.367838	-81.241495	-56.014509
00451		-0.725844	0.125563	0.646388	0.198911	29.407499	-81.229395	-56.014774
00452		-0.725947	0.125279	0.646377	0.198753	29.433985	-81.215673	-56.004628
00453		-0.726065	0.125027	0.646340	0.198603	29.434180	-81.200811	-55.971449
00454		-0.726132	0.124786	0.646352	0.198469	29.471813	-81.191588	-55.977927
00455		-0.726188	0.124530	0.646382	0.198327	29.522923	-81.183715	-55.995953
00456		-0.726255	0.124275	0.646395	0.198200	29.569431	-81.173508	-56.010770
00457		-0.726333	0.124025	0.646398	0.198060	29.601046	-81.162957	-56.010112
00458		-0.726381	0.123754	0.646447	0.197894	29.659967	-81.157184	-56.032605
00459		-0.726417	0.123465	0.646512	0.197730	29.737420	-81.152018	-56.072271
00460		-0.726446	0.123207	0.646588	0.197534	29.796615	-81.151386	-56.093654
00461		-0.726508	0.122951	0.646611	0.197391	29.843426	-81.142755	-56.107314
00462		-0.726546	0.122710	0.646651	0.197269	29.904415	-81.136357	-56.138092
00463		-0.726561	0.122490	0.646711	0.197154	29.974584	-81.133160	-56.180458
00464		-0.726573	0.122211	0.646794	0.197013	30.070414	-81.129698	-56.241189
00465		-0.726598	0.121967	0.646861	0.196851	30.133716	-81.127581	-56.270744
00466		-0.726617	0.121727	0.646929	0.196706	30.203903	-81.125308	-56.308805
00467		-0.726654	0.121485	0.646985	0.196534	30.254557	-81.122490	-56.324998
00468		-0.726688	0.121237	0.647052	0.196341	30.305564	-81.121303	-56.339228
00469		-0.726722	0.121033	0.647107	0.196159	30.337912	-81.121394	-56.339395
00470		-0.726729	0.120879	0.647167	0.196030	30.378158	-81.123122	-56.355977
00471		-0.726738	0.120775	0.647204	0.195942	30.402069	-81.123885	-56.363827
00472		-0.726727	0.120750	0.647233	0.195899	30.412412	-81.127257	-56.368475
00473		-0.726735	0.120753	0.647227	0.195890	30.403198	-81.127071	-56.358719
00474		-0.726749	0.120752	0.647200	0.195923	30.399899	-81.122794	-56.358236
00475		-0.726752	0.120734	0.647190	0.195958	30.414806	-81.119100	-56.374589
00476		-0.726750	0.120708	0.647173	0.196038	30.447894	-81.112240	-56.412337
00477		-0.726741	0.120681	0.647178	0.196070	30.474484	-81.109745	-56.439414
00478		-0.726720	0.120615	0.647201	0.196115	30.533284	-81.106097	-56.496513
00479		-0.726716	0.120572	0.647186	0.196204	30.576981	-81.098121	-56.544209
00480		-0.726715	0.120538	0.647158	0.196322	30.620967	-81.087987	-56.595330
00481		-0.726709	0.120525	0.647117	0.196487	30.669549	-81.075909	-56.656782
00482		-0.726702	0.120513	0.647072	0.196668	30.721405	-81.062891	-56.723032
00483		-0.726687	0.120517	0.647028	0.196867	30.775482	-81.050198	-56.794248
00484		-0.726662	0.120501	0.647030	0.196962	30.824010	-81.045597	-56.849420
00485		-0.726650	0.120433	0.647040	0.197014	30.876825	-81.040081	-56.901084
00486		-0.726658	0.120330	0.647057	0.196992	30.915722	-81.036103	-56.929560
00487		-0.726692	0.120167	0.647073	0.196913	30.950468	-81.030317	-56.944276
00488		-0.726716	0.119999	0.647103	0.196830	30.994957	-81.025823	-56.967909
00489		-0.726757	0.119819	0.647119	0.196735	31.029025	-81.019607	-56.979084
00490		-0.726832	0.119616	0.647104	0.196630	31.045646	-81.008702	-56.970262
00491		-0.726907	0.119420	0.647087	0.196530	31.060683	-80.997975	-56.960838
00492		-0.726950	0.119233	0.647108	0.196414	31.091492	-80.992660	-56.966387
00493		-0.726971	0.119075	0.647131	0.196359	31.139179	-80.986993	-56.996441
00494		-0.726990	0.118950	0.647141	0.196329	31.178015	-80.981106	-57.022501
00495		-0.726996	0.118855	0.647157	0.196311	31.214417	-80.977257	-57.049494
00496		-0.727003	0.118765	0.647169	0.196298	31.249266	-80.973221	-57.075867
00497		-0.727047	0.118673	0.647137	0.196299	31.259989	-80.963608	-57.079160
