// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B414FF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
00370		-0.271335	0.649858	0.050724	-0.708159	-70.512077	63.237342	91.033639
00371		-0.271410	0.650116	0.050794	-0.707888	-70.607393	63.233223	90.937668
00372		-0.271453	0.650359	0.050893	-0.707642	-70.698246	63.228682	90.851450
00373		-0.271454	0.650614	0.051112	-0.707391	-70.801038	63.218035	90.766624
00374		-0.271513	0.650867	0.051291	-0.707122	-70.903020	63.206048	90.674329
00375		-0.271673	0.651090	0.051426	-0.706846	-70.996452	63.188893	90.578097
00376		-0.271846	0.651272	0.051554	-0.706603	-71.076187	63.170187	90.493820
00377		-0.272066	0.651412	0.051636	-0.706382	-71.140869	63.150416	90.416681
00378		-0.272339	0.651481	0.051631	-0.706214	-71.177601	63.131663	90.355834
00379		-0.272628	0.651525	0.051566	-0.706067	-71.201486	63.115990	90.301490
00380		-0.272902	0.651528	0.051479	-0.705964	-71.209615	63.102085	90.262285
00381		-0.273149	0.651563	0.051365	-0.705845	-71.224511	63.093245	90.216582
00382		-0.273425	0.651542	0.051186	-0.705771	-71.217033	63.086023	90.185420
00383		-0.273663	0.651517	0.051020	-0.705714	-71.207464	63.080521	90.160629
00384		-0.273849	0.651470	0.050888	-0.705694	-71.190758	63.075739	90.150294
00385		-0.274019	0.651415	0.050787	-0.705686	-71.173298	63.069424	90.144582
00386		-0.274151	0.651347	0.050708	-0.705703	-71.151173	63.063940	90.148726
00387		-0.274267	0.651302	0.050628	-0.705706	-71.135570	63.060185	90.147632
00388		-0.274408	0.651244	0.050514	-0.705712	-71.114591	63.057198	90.146964
00389		-0.274644	0.651188	0.050333	-0.705685	-71.093480	63.052219	90.132694
00390		-0.274897	0.651104	0.050086	-0.705682	-71.058520	63.050672	90.125318
00391		-0.275236	0.650991	0.049767	-0.705676	-71.012884	63.047463	90.115208
00392		-0.275638	0.650843	0.049384	-0.705683	-70.953653	63.043736	90.108014
00393		-0.275983	0.650727	0.049089	-0.705676	-70.909345	63.038217	90.098088
00394		-0.276153	0.650659	0.048978	-0.705679	-70.886846	63.032318	90.096530
00395		-0.276204	0.650634	0.049018	-0.705680	-70.884442	63.024468	90.097778
00396		-0.276221	0.650610	0.049067	-0.705692	-70.881432	63.018515	90.103219
00397		-0.276256	0.650586	0.049097	-0.705698	-70.877883	63.012832	90.106130
00398		-0.276305	0.650544	0.049037	-0.705722	-70.861757	63.012814	90.113040
00399		-0.276438	0.650485	0.048945	-0.705730	-70.841790	63.008463	90.113805
00400		-0.276592	0.650400	0.048799	-0.705758	-70.809883	63.006267	90.120265
00401		-0.276756	0.650312	0.048670	-0.705784	-70.779030	63.001774	90.126191
00402		-0.276930	0.650228	0.048531	-0.705803	-70.749096	62.997481	90.129442
00403		-0.277093	0.650152	0.048425	-0.705816	-70.723903	62.991537	90.131691
00404		-0.277201	0.650124	0.048425	-0.705800	-70.720500	62.982481	90.125607
00405		-0.277256	0.650115	0.048530	-0.705779	-70.729011	62.969500	90.120825
00406		-0.277252	0.650128	0.048733	-0.705755	-70.749560	62.953746	90.117080
00407		-0.277264	0.650154	0.048938	-0.705713	-70.775276	62.936839	90.107098
00408		-0.277354	0.650159	0.049070	-0.705663	-70.792374	62.919371	90.092822
00409		-0.277474	0.650173	0.049171	-0.705596	-70.811505	62.902344	90.071331
00410		-0.277644	0.650172	0.049188	-0.705528	-70.821661	62.887840	90.047656
00411		-0.277877	0.650152	0.049121	-0.705460	-70.821813	62.874894	90.021640
00412		-0.278140	0.650088	0.048979	-0.705426	-70.802669	62.864587	90.006132
00413		-0.278450	0.650007	0.048787	-0.705391	-70.776668	62.854256	89.989244
00414		-0.278771	0.649905	0.048554	-0.705374	-70.741462	62.845784	89.977255
00415		-0.279031	0.649854	0.048437	-0.705326	-70.728667	62.833972	89.957706
00416		-0.279235	0.649808	0.048406	-0.705291	-70.721627	62.819688	89.944299
00417		-0.279406	0.649799	0.048448	-0.705228	-70.731154	62.802870	89.923189
00418		-0.279564	0.649797	0.048495	-0.705164	-70.742551	62.786914	89.901739
00419		-0.279727	0.649819	0.048548	-0.705075	-70.762508	62.770676	89.871823
00420		-0.279875	0.649841	0.048588	-0.704994	-70.780567	62.756632	89.843980
00421		-0.279999	0.649861	0.048594	-0.704925	-70.794232	62.747145	89.819937
00422		-0.280181	0.649855	0.048564	-0.704861	-70.799073	62.735509	89.796701
00423		-0.280450	0.649795	0.048353	-0.704823	-70.776692	62.730376	89.778258
00424		-0.280840	0.649656	0.047988	-0.704821	-70.722105	62.726549	89.768841
00425		-0.281172	0.649510	0.047701	-0.704843	-70.668487	62.720469	89.769854
00426		-0.281231	0.649458	0.047700	-0.704868	-70.654443	62.714634	89.778526
00427		-0.281107	0.649488	0.047900	-0.704876	-70.673908	62.708676	89.786223
00428		-0.280953	0.649528	0.048172	-0.704882	-70.700951	62.699369	89.794888
00429		-0.280866	0.649575	0.048431	-0.704855	-70.732739	62.686362	89.791840
00430		-0.280851	0.649569	0.048589	-0.704856	-70.742781	62.674462	89.795884
00431		-0.280912	0.649540	0.048705	-0.704850	-70.745926	62.659558	89.796789
00432		-0.280988	0.649488	0.048777	-0.704863	-70.738457	62.646547	89.803404
00433		-0.281013	0.649454	0.048887	-0.704876	-70.737855	62.634759	89.810610
00434		-0.281009	0.649407	0.048994	-0.704914	-70.730738	62.625047	89.826759
00435		-0.281060	0.649334	0.049053	-0.704956	-70.714725	62.614449	89.842991
00436		-0.281047	0.649256	0.049093	-0.705031	-70.691791	62.610075	89.870247
00437		-0.280942	0.649207	0.049259	-0.705106	-70.683961	62.603390	89.900776
00438		-0.280804	0.649126	0.049477	-0.705221	-70.668129	62.594012	89.946312
00439		-0.280634	0.649051	0.049721	-0.705341	-70.654602	62.585236	89.994478
00440		-0.280465	0.648967	0.049945	-0.705469	-70.637066	62.577746	90.044997
00441		-0.280339	0.648883	0.050146	-0.705582	-70.619516	62.568789	90.089855
00442		-0.280226	0.648798	0.050333	-0.705692	-70.601550	62.559972	90.132779
00443		-0.280150	0.648708	0.050471	-0.705795	-70.579628	62.552125	90.172532
00444		-0.280102	0.648597	0.050582	-0.705908	-70.550291	62.543801	90.214928
00445		-0.280077	0.648501	0.050641	-0.706002	-70.522821	62.538315	90.249316
00446		-0.280110	0.648390	0.050593	-0.706094	-70.484849	62.536611	90.280306
00447		-0.280177	0.648254	0.050505	-0.706199	-70.437063	62.534865	90.314952
00448		-0.280213	0.648121	0.050473	-0.706309	-70.393457	62.531054	90.352639
00449		-0.280114	0.648041	0.050644	-0.706410	-70.376355	62.522549	90.392218
00450		-0.279852	0.647998	0.051014	-0.706526	-70.379286	62.511283	90.442311
00451		-0.279581	0.647975	0.051436	-0.706623	-70.392674	62.497198	90.486912
00452		-0.279358	0.647951	0.051831	-0.706706	-70.405695	62.481480	90.525623
00453		-0.279219	0.647920	0.052167	-0.706764	-70.416387	62.464007	90.554295
00454		-0.279229	0.647833	0.052298	-0.706830	-70.399860	62.450203	90.580557
00455		-0.279334	0.647740	0.052311	-0.706872	-70.376524	62.438544	90.595610
00456		-0.279461	0.647640	0.052250	-0.706919	-70.345727	62.431015	90.610208
00457		-0.279558	0.647566	0.052267	-0.706947	-70.328411	62.420147	90.620325
00458		-0.279503	0.647535	0.052443	-0.706984	-70.330328	62.409162	90.637450
00459		-0.279309	0.647564	0.052770	-0.707010	-70.356726	62.398373	90.654704
00460		-0.279083	0.647597	0.053152	-0.707040	-70.387347	62.385510	90.674953
00461		-0.278843	0.647634	0.053475	-0.707077	-70.413405	62.378733	90.696255
00462		-0.278687	0.647624	0.053674	-0.707132	-70.418638	62.374149	90.720900
00463		-0.278602	0.647605	0.053814	-0.707173	-70.419807	62.368817	90.738577
00464		-0.278490	0.647585	0.053910	-0.707228	-70.415541	62.368985	90.760361
00465		-0.278354	0.647587	0.054045	-0.707269	-70.420572	62.368523	90.778342
00466		-0.278116	0.647615	0.054271	-0.707319	-70.436039	62.369203	90.802095
00467		-0.277810	0.647670	0.054573	-0.707366	-70.462977	62.369646	90.826549
00468		-0.277573	0.647729	0.054829	-0.707386	-70.490923	62.368660	90.840270
00469		-0.277399	0.647757	0.055021	-0.707413	-70.507064	62.367143	90.855011
00470		-0.277289	0.647761	0.055113	-0.707445	-70.510344	62.368222	90.868900
00471		-0.277253	0.647722	0.055077	-0.707498	-70.492950	62.372848	90.886482
00472		-0.277249	0.647676	0.054971	-0.707550	-70.469044	62.380455	90.902045
00473		-0.277202	0.647671	0.054889	-0.707579	-70.458262	62.390533	90.910236
00474		-0.277088	0.647671	0.054844	-0.707628	-70.448538	62.402756	90.926319
00475		-0.276971	0.647671	0.054817	-0.707676	-70.440156	62.413880	90.942791
00476		-0.276802	0.647648	0.054781	-0.707766	-70.420889	62.429090	90.973880
00477		-0.276596	0.647653	0.054831	-0.707838	-70.416065	62.440898	91.000864
00478		-0.276351	0.647644	0.054922	-0.707934	-70.408265	62.451966	91.037461
00479		-0.276128	0.647640	0.055033	-0.708017	-70.404568	62.459891	91.069749
00480		-0.275919	0.647631	0.055141	-0.708098	-70.399881	62.466729	91.101489
00481		-0.275704	0.647638	0.055295	-0.708163	-70.403887	62.470905	91.128882
00482		-0.275505	0.647635	0.055441	-0.708231	-70.405132	62.474135	91.156870
00483		-0.275326	0.647641	0.055613	-0.708282	-70.412269	62.474070	91.179389
00484		-0.275172	0.647643	0.055786	-0.708327	-70.419450	62.471912	91.199720
00485		-0.275065	0.647641	0.055976	-0.708356	-70.429125	62.464685	91.214875
00486		-0.275044	0.647630	0.056091	-0.708364	-70.434289	62.456602	91.220899
00487		-0.275055	0.647634	0.056176	-0.708350	-70.443372	62.449028	91.217701
00488		-0.275111	0.647622	0.056216	-0.708336	-70.445758	62.441170	91.213683
00489		-0.275189	0.647595	0.056236	-0.708329	-70.442871	62.432834	91.211385
00490		-0.275228	0.647572	0.056275	-0.708331	-70.440879	62.426049	91.213144
00491		-0.275282	0.647538	0.056349	-0.708336	-70.438915	62.414923	91.216263
00492		-0.275370	0.647474	0.056385	-0.708357	-70.426145	62.403499	91.224177
00493		-0.275490	0.647396	0.056404	-0.708380	-70.409037	62.390544	91.232256
00494		-0.275569	0.647315	0.056441	-0.708420	-70.390318	62.379211	91.246984
00495		-0.275591	0.647267	0.056592	-0.708444	-70.388897	62.363962	91.258752
00496		-0.275531	0.647228	0.056799	-0.708486	-70.390671	62.350648	91.278963
00497		-0.275458	0.647217	0.057005	-0.708508	-70.400812	62.339270	91.291985
00498		-0.275388	0.647199	0.057159	-0.708539	-70.404805	62.331605	91.306644
00499		-0.275361	0.647193	0.057297	-0.708544	-70.412974	62.322277	91.312016
00500		-0.275340	0.647180	0.057367	-0.708558	-70.413801	62.317909	91.318771
00501		-0.275385	0.647162	0.057338	-0.708560	-70.407850	62.316280	91.318298
00502		-0.275521	0.647126	0.057240	-0.708547	-70.395160	62.312740	91.311117
00503		-0.275746	0.647062	0.057038	-0.708535	-70.369001	62.310194	91.301090
00504		-0.275999	0.646984	0.056825	-0.708524	-70.339407	62.305791	91.291092
00505		-0.276219	0.646918	0.056688	-0.708511	-70.317969	62.298290	91.282083
00506		-0.276336	0.646889	0.056646	-0.708494	-70.311413	62.291851	91.274945
00507		-0.276375	0.646893	0.056712	-0.708470	-70.320132	62.283685	91.268086
00508		-0.276330	0.646937	0.056795	-0.708441	-70.338826	62.281723	91.260223
00509		-0.276314	0.646990	0.056890	-0.708391	-70.363034	62.276724	91.245213
00510		-0.276296	0.647015	0.056931	-0.708373	-70.373391	62.275563	91.239778
00511		-0.276295	0.647039	0.056917	-0.708351	-70.380086	62.277438	91.232013
00512		-0.276282	0.647066	0.056892	-0.708334	-70.385709	62.281270	91.225557
00513		-0.276263	0.647097	0.056872	-0.708315	-70.393060	62.285203	91.218267
00514		-0.276290	0.647094	0.056768	-0.708316	-70.384607	62.291467	91.215937
00515		-0.276353	0.647060	0.056602	-0.708335	-70.363192	62.299099	91.218338
00516		-0.276430	0.646986	0.056431	-0.708386	-70.329119	62.304905	91.231660
00517		-0.276472	0.646930	0.056369	-0.708426	-70.307954	62.305107	91.244000
00518		-0.276489	0.646881	0.056343	-0.708466	-70.290931	62.304485	91.257298
00519		-0.276501	0.646825	0.056377	-0.708510	-70.276687	62.299181	91.273201
00520		-0.276521	0.646779	0.056441	-0.708539	-70.268380	62.291154	91.284998
00521		-0.276527	0.646750	0.056543	-0.708555	-70.268213	62.281644	91.292876
00522		-0.276511	0.646747	0.056627	-0.708557	-70.273610	62.276004	91.295714
00523		-0.276521	0.646745	0.056676	-0.708552	-70.277466	62.271137	91.294921
00524		-0.276549	0.646737	0.056645	-0.708550	-70.273934	62.271317	91.293523
00525		-0.276680	0.646724	0.056594	-0.708515	-70.272223	62.265165	91.279587
00526		-0.276780	0.646714	0.056537	-0.708489	-70.269441	62.261828	91.268927
00527		-0.276853	0.646703	0.056584	-0.708467	-70.273641	62.252082	91.262152
00528		-0.276822	0.646722	0.056743	-0.708450	-70.291508	62.242140	91.259993
00529		-0.276767	0.646753	0.056964	-0.708425	-70.317140	62.229394	91.257154
00530		-0.276729	0.646773	0.057132	-0.708408	-70.335980	62.219301	91.255361
00531		-0.276749	0.646784	0.057253	-0.708380	-70.350691	62.208278	91.248702
00532		-0.276767	0.646784	0.057298	-0.708369	-70.355457	62.203243	91.246022
00533		-0.276833	0.646814	0.057301	-0.708316	-70.368734	62.198915	91.227290
00534		-0.276889	0.646825	0.057293	-0.708285	-70.374268	62.195658	91.216176
00535		-0.276993	0.646855	0.057280	-0.708218	-70.388283	62.189595	91.192089
00536		-0.277147	0.646849	0.057208	-0.708169	-70.387994	62.183508	91.173000
00537		-0.277320	0.646833	0.057166	-0.708119	-70.388292	62.173267	91.153991
00538		-0.277421	0.646837	0.057222	-0.708071	-70.399650	62.161097	91.138393
00539		-0.277415	0.646886	0.057410	-0.708014	-70.430679	62.147747	91.123247
00540		-0.277300	0.646961	0.057652	-0.707970	-70.469050	62.139083	91.114715
00541		-0.277215	0.647021	0.057893	-0.707929	-70.504012	62.127807	91.106846
00542		-0.277189	0.647078	0.058006	-0.707879	-70.530069	62.122306	91.092392
00543		-0.277195	0.647120	0.058069	-0.707832	-70.549227	62.117943	91.077754
00544		-0.277223	0.647131	0.058078	-0.707810	-70.554945	62.115371	91.070452
00545		-0.277293	0.647140	0.058065	-0.707776	-70.560169	62.111404	91.057985
00546		-0.277358	0.647156	0.058048	-0.707737	-70.567223	62.108219	91.043927
