// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B41517
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
00370		-0.689881	-0.270641	0.592074	-0.316648	-0.578295	-81.233369	49.805208
00371		-0.689899	-0.270652	0.591943	-0.316845	-0.623706	-81.215928	49.869834
00372		-0.689916	-0.270650	0.591820	-0.317038	-0.676731	-81.198872	49.940574
00373		-0.689934	-0.270578	0.591739	-0.317212	-0.766731	-81.182989	50.040231
00374		-0.689958	-0.270517	0.591643	-0.317391	-0.848457	-81.165854	50.133126
00375		-0.689967	-0.270515	0.591521	-0.317602	-0.910344	-81.148761	50.214270
00376		-0.689986	-0.270559	0.591373	-0.317797	-0.932774	-81.131274	50.258660
00377		-0.689995	-0.270647	0.591227	-0.317975	-0.927688	-81.116702	50.277955
00378		-0.689993	-0.270750	0.591103	-0.318123	-0.909764	-81.106207	50.282813
00379		-0.689980	-0.270875	0.591004	-0.318227	-0.870660	-81.100661	50.264366
00380		-0.689953	-0.270971	0.590949	-0.318307	-0.848653	-81.099145	50.258201
00381		-0.689965	-0.271037	0.590880	-0.318352	-0.815415	-81.093956	50.235079
00382		-0.689958	-0.271090	0.590827	-0.318421	-0.807202	-81.089950	50.237841
00383		-0.689965	-0.271151	0.590760	-0.318476	-0.782909	-81.084753	50.224188
00384		-0.689961	-0.271219	0.590700	-0.318539	-0.761775	-81.080755	50.214931
00385		-0.689954	-0.271265	0.590658	-0.318592	-0.752834	-81.078002	50.214938
00386		-0.689982	-0.271242	0.590633	-0.318599	-0.755331	-81.073124	50.216137
00387		-0.690028	-0.271172	0.590609	-0.318603	-0.777191	-81.065385	50.232427
00388		-0.690081	-0.271046	0.590596	-0.318619	-0.833776	-81.055523	50.279520
00389		-0.690167	-0.270918	0.590551	-0.318625	-0.872332	-81.041201	50.307714
00390		-0.690244	-0.270794	0.590524	-0.318613	-0.907529	-81.029702	50.331153
00391		-0.690315	-0.270696	0.590513	-0.318565	-0.918760	-81.021961	50.329595
00392		-0.690364	-0.270607	0.590542	-0.318480	-0.923993	-81.020311	50.319237
00393		-0.690418	-0.270516	0.590581	-0.318368	-0.919837	-81.019951	50.296940
00394		-0.690485	-0.270434	0.590621	-0.318217	-0.891817	-81.020364	50.248129
00395		-0.690555	-0.270359	0.590661	-0.318055	-0.855523	-81.021249	50.190521
00396		-0.690616	-0.270279	0.590703	-0.317912	-0.831757	-81.022060	50.146888
00397		-0.690696	-0.270210	0.590726	-0.317756	-0.788644	-81.020898	50.083663
00398		-0.690783	-0.270111	0.590747	-0.317611	-0.763136	-81.017596	50.036439
00399		-0.690902	-0.269960	0.590764	-0.317448	-0.748701	-81.010642	49.994179
00400		-0.691011	-0.269806	0.590775	-0.317322	-0.752300	-81.002392	49.973025
00401		-0.691106	-0.269703	0.590742	-0.317266	-0.753216	-80.991373	49.960107
00402		-0.691180	-0.269646	0.590681	-0.317265	-0.751513	-80.979514	49.953710
00403		-0.691243	-0.269630	0.590599	-0.317294	-0.739876	-80.967333	49.943638
00404		-0.691297	-0.269644	0.590515	-0.317321	-0.713461	-80.956742	49.921336
00405		-0.691309	-0.269657	0.590489	-0.317333	-0.703658	-80.953980	49.913765
00406		-0.691360	-0.269629	0.590442	-0.317331	-0.695488	-80.945817	49.903252
00407		-0.691404	-0.269596	0.590401	-0.317340	-0.697154	-80.938120	49.903076
00408		-0.691438	-0.269594	0.590348	-0.317365	-0.689506	-80.930793	49.897758
00409		-0.691453	-0.269615	0.590289	-0.317427	-0.688512	-80.923942	49.904361
00410		-0.691479	-0.269599	0.590254	-0.317448	-0.692176	-80.918246	49.908755
00411		-0.691531	-0.269553	0.590207	-0.317462	-0.699271	-80.908888	49.913294
00412		-0.691588	-0.269459	0.590161	-0.317502	-0.740966	-80.896602	49.950547
00413		-0.691639	-0.269416	0.590101	-0.317541	-0.754180	-80.885609	49.963841
00414		-0.691698	-0.269371	0.590026	-0.317589	-0.767538	-80.872526	49.978001
00415		-0.691725	-0.269384	0.589949	-0.317662	-0.768790	-80.862792	49.987246
00416		-0.691738	-0.269426	0.589885	-0.317716	-0.753173	-80.856717	49.980458
00417		-0.691738	-0.269469	0.589851	-0.317744	-0.735509	-80.854774	49.969188
00418		-0.691736	-0.269480	0.589855	-0.317730	-0.725185	-80.856046	49.958607
00419		-0.691720	-0.269470	0.589896	-0.317698	-0.729884	-80.861027	49.959311
00420		-0.691727	-0.269434	0.589907	-0.317692	-0.745940	-80.860228	49.971676
00421		-0.691745	-0.269398	0.589921	-0.317659	-0.749759	-80.859854	49.969335
00422		-0.691771	-0.269352	0.589912	-0.317656	-0.763820	-80.855774	49.979176
00423		-0.691806	-0.269309	0.589893	-0.317652	-0.771810	-80.850488	49.983113
00424		-0.691852	-0.269257	0.589878	-0.317624	-0.773295	-80.845175	49.977617
