// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4151A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
00370		-0.333296	0.651087	0.373220	0.570707	-176.374015	-82.722951	56.452266
00371		-0.333315	0.650798	0.373313	0.570965	-176.568365	-82.759994	56.655717
00372		-0.333272	0.650552	0.373375	0.571229	-176.776112	-82.793116	56.864091
00373		-0.333281	0.650282	0.373441	0.571488	-176.960275	-82.829320	57.053934
00374		-0.333299	0.649997	0.373533	0.571742	-177.158579	-82.865568	57.261260
00375		-0.333298	0.649745	0.373617	0.571974	-177.349043	-82.897292	57.458455
00376		-0.333300	0.649501	0.373720	0.572182	-177.540629	-82.926005	57.658798
00377		-0.333298	0.649286	0.373799	0.572376	-177.709331	-82.952329	57.833764
00378		-0.333289	0.649108	0.373878	0.572532	-177.860864	-82.973067	57.991137
00379		-0.333288	0.648960	0.373931	0.572666	-177.977550	-82.991207	58.112048
00380		-0.333255	0.648878	0.373915	0.572788	-178.054238	-83.005159	58.183678
00381		-0.333235	0.648811	0.373870	0.572905	-178.100479	-83.019276	58.223362
00382		-0.333228	0.648786	0.373802	0.572982	-178.099963	-83.028931	58.215440
00383		-0.333212	0.648787	0.373705	0.573053	-178.080167	-83.037068	58.184754
00384		-0.333195	0.648803	0.373606	0.573110	-178.049830	-83.043090	58.143291
00385		-0.333169	0.648829	0.373480	0.573177	-178.011336	-83.049843	58.090395
00386		-0.333128	0.648865	0.373371	0.573232	-177.984069	-83.053845	58.048824
00387		-0.333068	0.648915	0.373246	0.573291	-177.957196	-83.056926	58.004476
00388		-0.333008	0.648970	0.373120	0.573346	-177.926999	-83.059364	57.956711
00389		-0.332977	0.649009	0.373008	0.573392	-177.888025	-83.062986	57.904347
00390		-0.332954	0.649028	0.372904	0.573451	-177.858851	-83.068971	57.863010
00391		-0.332980	0.649023	0.372783	0.573521	-177.799231	-83.079891	57.794062
00392		-0.332975	0.649038	0.372636	0.573603	-177.743548	-83.090043	57.723746
00393		-0.332970	0.649044	0.372444	0.573723	-177.677582	-83.105282	57.638842
00394		-0.332967	0.649056	0.372226	0.573853	-177.595997	-83.121905	57.535955
00395		-0.332946	0.649077	0.371993	0.573992	-177.518460	-83.138374	57.434014
00396		-0.332897	0.649117	0.371775	0.574117	-177.455833	-83.150835	57.346066
00397		-0.332880	0.649163	0.371579	0.574202	-177.370678	-83.160294	57.240546
00398		-0.332841	0.649194	0.371444	0.574277	-177.334110	-83.167052	57.187487
00399		-0.332804	0.649227	0.371319	0.574341	-177.298603	-83.172555	57.136569
00400		-0.332763	0.649247	0.371211	0.574412	-177.281198	-83.178761	57.105089
00401		-0.332734	0.649258	0.371104	0.574486	-177.259801	-83.186115	57.070663
00402		-0.332688	0.649277	0.371003	0.574556	-177.248549	-83.191874	57.045425
00403		-0.332657	0.649313	0.370882	0.574612	-177.207668	-83.196633	56.990110
00404		-0.332628	0.649350	0.370734	0.574682	-177.154440	-83.203505	56.920155
00405		-0.332627	0.649364	0.370582	0.574764	-177.090359	-83.213934	56.841400
00406		-0.332622	0.649392	0.370443	0.574825	-177.025949	-83.221287	56.763304
00407		-0.332651	0.649416	0.370302	0.574873	-176.934386	-83.229179	56.660871
00408		-0.332664	0.649446	0.370176	0.574913	-176.857737	-83.235045	56.573523
00409		-0.332665	0.649486	0.370040	0.574954	-176.780555	-83.240037	56.483511
00410		-0.332685	0.649518	0.369919	0.574985	-176.698461	-83.245135	56.391691
00411		-0.332735	0.649517	0.369814	0.575024	-176.618443	-83.253695	56.306324
00412		-0.332797	0.649495	0.369757	0.575050	-176.559429	-83.261415	56.247561
00413		-0.332852	0.649487	0.369695	0.575067	-176.494744	-83.267518	56.181969
00414		-0.332882	0.649500	0.369657	0.575060	-176.447207	-83.268469	56.133658
00415		-0.332913	0.649510	0.369630	0.575048	-176.404643	-83.268925	56.091468
00416		-0.332921	0.649548	0.369555	0.575048	-176.344786	-83.269124	56.025321
00417		-0.333046	0.649511	0.369509	0.575046	-176.245486	-83.277817	55.933169
00418		-0.333158	0.649478	0.369443	0.575061	-176.147595	-83.287710	55.839265
00419		-0.333191	0.649493	0.369333	0.575096	-176.068700	-83.294173	55.752894
00420		-0.333221	0.649503	0.369203	0.575150	-175.986805	-83.303055	55.661384
00421		-0.333275	0.649469	0.369124	0.575208	-175.932864	-83.314473	55.604706
00422		-0.333211	0.649523	0.368968	0.575285	-175.892715	-83.319491	55.543786
00423		-0.333280	0.649508	0.368776	0.575386	-175.770049	-83.337066	55.409011
00424		-0.333492	0.649398	0.368680	0.575448	-175.622355	-83.360473	55.271292
00425		-0.333596	0.649417	0.368658	0.575380	-175.512639	-83.358459	55.169438
00426		-0.333657	0.649483	0.368701	0.575243	-175.436098	-83.344241	55.103065
00427		-0.333729	0.649523	0.368794	0.575097	-175.385294	-83.329839	55.068147
00428		-0.333783	0.649561	0.368872	0.574972	-175.346260	-83.317034	55.041988
00429		-0.333850	0.649555	0.368911	0.574915	-175.308237	-83.314278	55.013928
00430		-0.333875	0.649566	0.368925	0.574879	-175.285960	-83.311122	54.995422
00431		-0.333911	0.649571	0.368894	0.574873	-175.239952	-83.312624	54.949785
00432		-0.333947	0.649571	0.368816	0.574901	-175.178052	-83.318577	54.883838
00433		-0.333999	0.649578	0.368721	0.574925	-175.093078	-83.324887	54.794523
00434		-0.334062	0.649583	0.368634	0.574937	-175.001251	-83.330554	54.700338
00435		-0.334171	0.649555	0.368594	0.574932	-174.910454	-83.337331	54.615771
00436		-0.334271	0.649526	0.368565	0.574925	-174.832486	-83.343383	54.544174
00437		-0.334412	0.649485	0.368559	0.574893	-174.735098	-83.349024	54.459285
00438		-0.334514	0.649431	0.368543	0.574904	-174.675732	-83.357748	54.407696
00439		-0.334613	0.649379	0.368508	0.574929	-174.609676	-83.367908	54.347266
00440		-0.334716	0.649319	0.368458	0.574969	-174.538647	-83.380539	54.280758
00441		-0.334800	0.649283	0.368391	0.575003	-174.461694	-83.390668	54.205026
00442		-0.334871	0.649254	0.368314	0.575044	-174.387586	-83.400886	54.130025
00443		-0.334953	0.649216	0.368237	0.575088	-174.308537	-83.412155	54.051142
00444		-0.335012	0.649222	0.368156	0.575099	-174.221479	-83.417272	53.961819
00445		-0.335128	0.649190	0.368121	0.575090	-174.127135	-83.423903	53.874761
00446		-0.335220	0.649173	0.368131	0.575048	-174.062450	-83.424752	53.819729
00447		-0.335279	0.649169	0.368053	0.575070	-173.981987	-83.431238	53.737177
00448		-0.335394	0.649094	0.368003	0.575119	-173.907676	-83.445755	53.668490
00449		-0.335479	0.649046	0.367948	0.575159	-173.841008	-83.456933	53.604320
00450		-0.335594	0.648981	0.367943	0.575168	-173.779827	-83.466364	53.553081
